User,Teks,Waktu,Sumber,Teks_Bersih
@nininini5507,"Ini ben3r kita harus siaap dgn agenda berikutnya kelompok dajal global dan kita harus berkaca apa yg dilakukan pak jend dharma pongrekun, seharusnya pemerintah harus peduli dan merekrut org seperti pa dharma pongrekun dalam dep pertahanan nasional ❤",1 bulan yang lalu,YouTube (Podcast Deddy),ben harus siaap dgn agenda berikutnya kelompok dajal global harus berkaca dilakukan pak jend dharma pongrekun seharusnya pemerintah harus peduli merekrut org dharma pongrekun dep pertahanan nasional
@youngalfa8684,"Bukankah untuk mengantisipasi yang akan datang, kita juga HARUS TAHU APA YANG TERJADI SEKARANG dan SEBELUMNYA ???? Dan karena itu pula ada pelajaran sejarah",1 bulan yang lalu,YouTube (Podcast Deddy),bukankah mengantisipasi datang harus tahu terjadi sekarang sebelumnya pula pelajaran sejarah
@okhicatv5485,Ramalan kartun Trump 2026 meninggal.... Berarti akan ada kasus yg terjadi,1 bulan yang lalu,YouTube (Podcast Deddy),ramalan kartun trump meninggal berarti kasus terjadi
@lenterailmu3633,𝘽𝙪𝙠𝙖𝙣 𝙜𝙖𝙠 𝙖𝙙𝙖 𝙢𝙖𝙣𝙛𝙖𝙖𝙩... 𝙏𝙖𝙥𝙞 𝙨𝙖𝙣𝙜𝙖𝙩 𝙗𝙚𝙧𝙢𝙖𝙣𝙛𝙖𝙖𝙩 𝙪𝙣𝙩𝙪𝙠 𝙥𝙚𝙣𝙜𝙚𝙩𝙖𝙝𝙪𝙖𝙣 𝙗𝙖𝙜𝙞 𝙮𝙖𝙣𝙜 𝙗𝙚𝙡𝙪𝙢 𝙢𝙚𝙣𝙜𝙚𝙩𝙖𝙝𝙪𝙞.... 𝘿𝙖𝙣 𝙞𝙣𝙞 𝙨𝙚𝙗𝙖𝙜𝙖𝙞 𝙥𝙞𝙣𝙩𝙪 𝙙𝙖𝙣 𝙟𝙖𝙡𝙖𝙣 𝙥𝙚𝙢𝙗𝙪𝙠𝙖 𝙩𝙖𝙗𝙞𝙧 𝙩𝙖𝙗𝙞𝙧 𝙜𝙚𝙡𝙖𝙥 𝙨𝙠𝙚𝙣𝙖𝙧𝙞𝙤 𝙥𝙖𝙧𝙖 𝙥𝙚𝙣𝙜𝙞𝙠𝙪𝙩 𝙙𝙖𝙟𝙟𝙖𝙡.,1 bulan yang lalu,YouTube (Podcast Deddy),
@maya_ayaaja,betullll udah basi 😅 pengalihan issu ada hal baru yg akan mengguncang dunia 😅,1 bulan yang lalu,YouTube (Podcast Deddy),betullll basi pengalihan issu hal baru mengguncang dunia
@chamidahnur983,"Intinya jgn sampai lalai gara2 beginian   ,, ttp jaga iman dan amalannya",1 bulan yang lalu,YouTube (Podcast Deddy),intinya jgn lalai gara beginian ttp jaga iman amalannya
@joycepupella7176,Yup BETUL,1 bulan yang lalu,YouTube (Podcast Deddy),yup betul
@HikmahSetiapHari,Bagaimana kabar bencana Sumatra ini? Apa tindakan dan kelanjutannya,1 bulan yang lalu,YouTube (Podcast Deddy),bagaimana kabar bencana sumatra tindakan kelanjutannya
@respohbalap,"kalo menurutku ga gitu , kejahatan akan tetap ada bukan karna banyaknya orang² jahat , tapi karna diamnya orang² baik..",1 bulan yang lalu,YouTube (Podcast Deddy),menurutku gitu kejahatan tetap bukan banyaknya orang jahat diamnya orang baik
@Dani84_inst,Betul sekali 👍,3 minggu yang lalu,YouTube (Podcast Deddy),betul sekali
@mashudisetiawan3672,"Hati"" gimana kalau kayak gini.. contoh covid.. mau gak mau kita kebawa sampek 2thn lebih.. untungnya aja gak meninggal..",3 minggu yang lalu,YouTube (Podcast Deddy),hati gimana kayak gini contoh covid mau mau kebawa sampek thn untungnya meninggal
@victoriastephanie4067,bener ini🙁,3 minggu yang lalu,YouTube (Podcast Deddy),bener
@ibkarulaadha7989,"Dan di episode kali ini, Om Ded pun speechless,  Dunia memang sudah tua om, belum terlambat untuk mempersiapkan diri.",3 minggu yang lalu,YouTube (Podcast Deddy),episode kali ded pun speechless dunia memang tua belum terlambat mempersiapkan diri
@NurLela-r8s,Basi bagimu bnyk yg TDK tahu ...trgntung pribadi masing masing jika imn Tap dijaga lnsaAllah kn amn walau nyawa taruhannya,3 minggu yang lalu,YouTube (Podcast Deddy),basi bagimu bnyk tdk tahu trgntung pribadi masing masing jika imn tap dijaga lnsaallah amn walau nyawa taruhannya
@ElfridaDora-d7x,"Agenda baru 666, great reset.",13 hari yang lalu,YouTube (Podcast Deddy),agenda baru great reset
@intelijenius,"Ya ini yg disebut dahsyatnya fitnah akhir zaman emang bener2 parah men, puncaknya dajjal keluar, ga bs kebayang gmn nanti 😰",1 bulan yang lalu,YouTube (Podcast Deddy),disebut dahsyatnya fitnah akhir zaman emang bener parah men puncaknya dajjal keluar kebayang gmn nanti
@stellaviveriana2249,Tapi kita siap diri dengan apa caranya,1 bulan yang lalu,YouTube (Podcast Deddy),siap diri caranya
@oyagieadistian2695,"​ @stellaviveriana2249 klu menurut saya tinggal hidup jalani apa adanya,jalankan perintah tuhan sudah,jauhi larangan tuhan ,meninggal juga kita bertanggung jawab atas diri kita sendiri.",1 bulan yang lalu,YouTube (Podcast Deddy),klu menurut tinggal hidup jalani adanya jalankan perintah tuhan jauhi larangan tuhan meninggal bertanggung jawab atas diri sendiri
@jakalarrachanel6773,Saya setuju dengan komentar anda,1 bulan yang lalu,YouTube (Podcast Deddy),setuju komentar anda
@qistiagilliana,"Koyo pebisnis, dodolan produk model saiki ki wis digawe adoh sakdurunge, semono ugo saiki ki wis gawe model anyar gawe suk tahun² kedepan",1 bulan yang lalu,YouTube (Podcast Deddy),koyo pebisnis dodolan produk model saiki wis digawe adoh sakdurunge semono ugo saiki wis gawe model anyar gawe suk tahun kedepan
@candiceswanarmy4030,Loh ya emang betul begini dari dulu jg begitu masak baru nyadar,1 bulan yang lalu,YouTube (Podcast Deddy),loh emang betul begini dulu begitu masak baru nyadar
@papakhay9714,Dongeng,1 bulan yang lalu,YouTube (Podcast Deddy),dongeng
@JessieXinying,"Caranya dengan jangan fomo dengan yang sedang viral,",1 bulan yang lalu,YouTube (Podcast Deddy),caranya fomo sedang viral
@aguswariasa1718,Semua akan JRX pada waktunya,1 bulan yang lalu,YouTube (Podcast Deddy),semua jrx waktunya
